Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
19,Sun,2019-07-21,19:35 (13:35),Henan Jianye,0–0,Wuhan Zall,21788,Zhengzhou Hanghai Stadium,Zhang Lei,Match Report,
19,Sun,2019-07-21,20:00 (14:00),Jiangsu Suning,1–0,Beijing Guoan,19023,Nanjing Olympic Sports Center,Gu Chunhan,Match Report,
19,Sun,2019-07-21,20:00 (14:00),Chongqing SWM,2–2,Shanghai SIPG,43858,Chongqing Olympic Sports Center,Ai Kun,Match Report,
,,,,,,,,,,,
20,Sat,2019-07-27,17:30 (11:30),Hebei Fortune,3–0,Chongqing SWM,15133,Langfang City Sports Center,Wang Di,Match Report,
20,Sat,2019-07-27,19:35 (13:35),Dalian Yifang,1–0,Shandong Lunen,52109,Dalian Sports Center,Wang Zhe,Match Report,
20,Sat,2019-07-27,19:35 (13:35),Henan Jianye,1–0,Beijing Guoan,21999,Zhengzhou Hanghai Stadium,Yusuke Araki,Match Report,
20,Sat,2019-07-27,19:35 (13:35),Shanghai Shen,5–3,Guangzhou R&F,23115,Hongkou Stadium,Mark Clattenburg,Match Report,
20,Sun,2019-07-28,19:35 (13:35),Jiangsu Suning,2–0,Shenzhen,20583,Nanjing Olympic Sports Center,Shen Yinhao,Match Report,
20,Sun,2019-07-28,19:35 (13:35),Wuhan Zall,1–1,Shanghai SIPG,23517,Wuhan Sports Center Stadium,Milorad Mažić,Match Report,
20,Sun,2019-07-28,19:35 (13:35),Guangzhou Evg,3–0,Beijing Renhe,47935,Tianhe Stadium,Ma Ning,Match Report,
20,Sun,2019-07-28,19:35 (13:35),Tianjin Tianhai,1–0,Tianjin TEDA,27792,Tianjin Olympic Center Stadium,Zhang Lei,Match Report,
,,,,,,,,,,,
21,Fri,2019-08-02,19:35 (13:35),Shanghai Shen,2–2,Wuhan Zall,24123,Hongkou Stadium,Huang Yejun,Match Report,
21,Fri,2019-08-02,19:35 (13:35),Chongqing SWM,1–3,Dalian Yifang,28455,Chongqing Olympic Sports Center,Gu Chunhan,Match Report,
21,Fri,2019-08-02,19:35 (13:35),Shenzhen,1–1,Beijing Renhe,13637,Shenzhen Universiade Sports Centre,Milorad Mažić,Match Report,
21,Fri,2019-08-02,20:00 (14:00),Guangzhou R&F,2–2,Jiangsu Suning,11036,Yuexiushan Stadium,Guan Xing,Match Report,
21,Fri,2019-08-02,20:00 (14:00),Beijing Guoan,2–0,Hebei Fortune,41115,Workers' Stadium,Ma Ning,Match Report,
21,Sat,2019-08-03,18:00 (12:00),Tianjin TEDA,2–0,Henan Jianye,14510,Tianjin Olympic Center Stadium,Mark Clattenburg,Match Report,
21,Sat,2019-08-03,19:35 (13:35),Shandong Lunen,0–3,Guangzhou Evg,40117,Jinan Olympic Sports Center Stadium,Yusuke Araki,Match Report,
21,Sat,2019-08-03,20:00 (14:00),Shanghai SIPG,0–0,Tianjin Tianhai,22733,Shanghai Stadium,Jing Wang,Match Report,
,,,,,,,,,,,
23,Fri,2019-08-09,19:35 (13:35),Guangzhou R&F,2–2,Shanghai SIPG,13508,Yuexiushan Stadium,Ma Ning,Match Report,
23,Fri,2019-08-09,19:35 (13:35),Dalian Yifang,2–2,Jiangsu Suning,48209,Dalian Sports Center,Li Haixin,Match Report,
23,Fri,2019-08-09,20:30 (14:30),Henan Jianye,2–1,Beijing Renhe,18313,Zhengzhou Hanghai Stadium,Zhang Lei,Match Report,
23,Sat,2019-08-10,19:35 (13:35),Tianjin TEDA,2–1,Wuhan Zall,15591,Tianjin Olympic Center Stadium,Fu Ming,Match Report,
23,Sat,2019-08-10,19:35 (13:35),Hebei Fortune,0–3,Shandong Lunen,21326,Langfang City Sports Center,Mark Clattenburg,Match Report,
23,Sun,2019-08-11,19:35 (13:35),Beijing Guoan,1–3,Guangzhou Evg,57056,Workers' Stadium,Matt Conger,Match Report,
23,Sun,2019-08-11,19:35 (13:35),Chongqing SWM,1–1,Tianjin Tianhai,23536,Chongqing Olympic Sports Center,Milorad Mažić,Match Report,
,,,,,,,,,,,
22,Tue,2019-08-13,19:35 (13:35),Jiangsu Suning,3–0,Henan Jianye,22055,Nanjing Olympic Sports Center,Ai Kun,Match Report,
22,Wed,2019-08-14,19:35 (13:35),Shanghai SIPG,5–1,Tianjin TEDA,20003,Shanghai Stadium,Milorad Mažić,Match Report,
22,Wed,2019-08-14,19:35 (13:35),Beijing Renhe,1–2,Hebei Fortune,8107,Beijing Fengtai Stadium,Artur Soares Dias,Match Report,
22,Wed,2019-08-14,19:35 (13:35),Shenzhen,4–0,Guangzhou R&F,12906,Shenzhen Universiade Sports Centre,Matt Conger,Match Report,
22,Thu,2019-08-15,19:35 (13:35),Guangzhou Evg,1–1,Chongqing SWM,48473,Tianhe Stadium,Jing Wang,Match Report,
22,Thu,2019-08-15,19:35 (13:35),Tianjin Tianhai,2–2,Shanghai Shen,11711,Tianjin Olympic Center Stadium,Gu Chunhan,Match Report,
