Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
19,Sat,2019-12-14,,Piast Gliwice,,Łódzki KS,,Stadion Miejski,,,
19,Sat,2019-12-14,,RKS Raków,,Górnik Zabrze,,Stadion Raków,,,
19,Sat,2019-12-14,,Arka Gdynia,,Zagłębie Lubin,,Stadion GOSiR,,,
19,Sat,2019-12-14,,Legia Warsaw,,Wisła Płock,,Stadion Miejski Legii Warszawa im. Marsz...,,,
19,Sat,2019-12-14,,Jagiellonia,,Lechia Gdańsk,,Stadion Miejski,,,
19,Sat,2019-12-14,,Wisła Kraków,,Pogoń Szczecin,,Stadion Miejski im. Henryka Reymana,,,
,,,,,,,,,,,
20,Fri,2019-12-20,,Lechia Gdańsk,,RKS Raków,,Stadion Energa Gdańsk,,,
20,Fri,2019-12-20,,Górnik Zabrze,,Jagiellonia,,Arena Zabrze,,,
20,Fri,2019-12-20,,Wisła Płock,,Piast Gliwice,,Stadion Miejski im. Henryka Reymana,,,
20,Fri,2019-12-20,,Pogoń Szczecin,,Korona Kielce,,Stadion Miejski im. Floriana Krygiera,,,
20,Fri,2019-12-20,,Łódzki KS,,Wisła Kraków,,Stadion ŁKS-u,,,
20,Fri,2019-12-20,,Cracovia,,Śląsk Wrocław,,Stadion Cracovii,,,
20,Fri,2019-12-20,,Lech Poznań,,Arka Gdynia,,INEA stadion,,,
20,Fri,2019-12-20,,Zagłębie Lubin,,Legia Warsaw,,Stadion Zagłębia Lubin,,,
,,,,,,,,,,,
21,Sat,2020-02-08,,Arka Gdynia,,Cracovia,,Stadion GOSiR,,,
21,Sat,2020-02-08,,Wisła Płock,,Pogoń Szczecin,,Stadion Miejski im. Henryka Reymana,,,
21,Sat,2020-02-08,,Wisła Kraków,,Jagiellonia,,Stadion Miejski im. Henryka Reymana,,,
21,Sat,2020-02-08,,Legia Warsaw,,Łódzki KS,,Stadion Miejski Legii Warszawa im. Marsz...,,,
21,Sat,2020-02-08,,Śląsk Wrocław,,Lechia Gdańsk,,Stadion Miejski,,,
21,Sat,2020-02-08,,Lech Poznań,,RKS Raków,,INEA stadion,,,
21,Sat,2020-02-08,,Korona Kielce,,Górnik Zabrze,,Kolporter Arena,,,
21,Sat,2020-02-08,,Piast Gliwice,,Zagłębie Lubin,,Stadion Miejski,,,
,,,,,,,,,,,
22,Sat,2020-02-15,,Łódzki KS,,Wisła Płock,,Stadion ŁKS-u,,,
